Address,Nametag,website,Public Note,chain id
0x7d6e9a64a3db60f3e6168cf00a0cda9692aff96a,has to be text,has to be text,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",has to be number/cannot be empty
0xa560351c8e52df1c824fcc0cbd87e6a769ec548e,cannot be [Blank],cannot be [Blank],"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xc67603994d40cdbb8c0aadfa404dbdb49036d5d2,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xfe4c8e0d00ba1a0e6ec19994cd0e1a080588a8a9,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x9471598e1094cf250ac32c56579d50456d4f6956,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xb8aa4c0c9d73ee0eedf09bbbac4e68ab8fd3ddd2,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x9667b3db99be9231d24c59aa190d84e4d9015c5b,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x41e5ba7d7912c3f2957e911c55ee11d32890a269,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x047c85f21238aade92990a3c3d9608e9b2a946de,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x1955c4cba1f2b98ce03cac0140765d7e9cb6acbd,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x5cc1075551f6007d5aae2c08ebdc5d14e6761a83,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x30f5d7092907cb4fcaeeca1df26e57430c65cd92,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x409e63441a54e76d0d5bb91f7763321c554dcd84,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x9d44b196c636c6661063d05f4122f01b740d1632,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xb76d877fbee40cdc0f34be329f6d2a4e885cae03,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xd4cb0390f729ae2a853cc70a5f108e4c41b97e6f,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xdd505df87005e5f280dada0c7de809efd50421cb,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x6fcbd86df4fa9ded8f260dc089902c032e2f60a9,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x32dfdba63f06321df172747ec90d017c4ccd1e51,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x4229f9cc68111ff56d660e0d8fb07b30e5e1ceb5,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xb73f8f2cd42bbe271e751b5fee5546cd08af441a,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0xdb8d55fc2c5b975d26c948a993a5c821a78d62ee,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
0x10ee235f33f6ec019d392be5b5e2468d9ee11233,,,"<i class=""fas fa-exclamation-triangle""></i> There are reports that this address was involved in Address Poisoning. Please exercise caution when interacting with it.",
